rank,sku,pid,commentId,commentDate,score,countryCode,user,comment,imageUrls
2,CJJJCWGY00320,2EC85C14-D684-4845-8917-AB9D4E5CE301,1790638858602811392,2024-04-26T16:40:50+08:00,5,UA,X***n,Крутий охолоджуючий коврик. Рекомендую ,
2,CJJJCWGY00320,2EC85C14-D684-4845-8917-AB9D4E5CE301,1790638858590228480,2023-12-20T16:47:18+08:00,5,BR,N***h,"chegou, realmente é refrescante. obrigado",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2024-05-15/bc35dd01-d84e-4a76-8c23-2752d5323ab1.jpg
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720136,2021-06-19T03:34:45+08:00,5,ES,A***r,"The carpet is a great invention, it&#39;s very hygienic. Mine the carrier bent it and ruined it but the seller has reimbursed my money, 100% trust the seller. Fast shipping, a pity that in transport mine was damaged and completely deformed. But the product itself is a great invention.",
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720137,2021-06-04T21:41:45+08:00,4,RU,A***a,"Came mint and does not straighten
Very badly packed
In general, good, on the sides on Velcro glued two layers, top in such holes
In the case have not yet tried",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/77d45665-96d4-494f-a242-92b8b97c29a1.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/75224da8-d8c9-48f6-8f3a-9d573ea7fa3f.jpg
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720138,2021-05-27T19:27:45+08:00,5,LV,M***r,The goods are the same as the description. Seller recommend.,
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720139,2021-05-25T21:07:45+08:00,5,ES,L***B,"I bought two mats for 2 sandstones and they&#39;re doing great. Only 20/30% of the Stones come out, the rest stay in the mats. They can be disassembled with the belcro they have on both sides.",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/fed100d9-2aab-40ff-a6d7-71deb6cfd483.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/68b8a84d-f492-47f4-b37d-79a5d2a723c5.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/ae9df0a9-cc5b-4593-aa2a-11b2d2eda532.jpg
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720140,2021-05-25T03:37:45+08:00,5,ES,E***e,"It came in time, well packed. It&#39;s a very nice color and good material, now to try it out.",
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720141,2021-05-24T22:24:45+08:00,5,AZ,S***n,The only mistake was the size .. for us it turned out to be small,
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720142,2021-05-20T22:32:45+08:00,3,BE,J***D,pas assez imperm&eacute;able.,
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720143,2021-05-20T16:08:45+08:00,5,LV,L***b,thank you.,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/faf2179d-31b0-4516-9dd0-ffd387d1843f.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/c64047b9-477c-4df7-a749-4740789a3fa0.jpg
