rank,sku,pid,nameEn,listedNum,sellPrice,suggestSellPrice,variant_count,inv_CN_total,inv_US_total,reviews_total,reviews_fetched,video_count,productUrl
1,CJJT1006521,1357289526732656640,Pet Cooling Pad Bed For Dogs Cats Puppy Kitten Cool Mat Pet Blanket Ice Silk Material Soft For Summer Sleeping  Blue Breathable,7561,2.56 -- 48.38,25.11 - 460.10,25,385248,8,29,29,8,https://www.cjdropshipping.com/product/pet-cooling-pad-bed-for-dogs-cats-puppy-kitten-cool-mat-pet-blanket-ice-silk-material-soft-for-summer-sleeping--blue-breathable-p-1357289526732656640.html
2,CJJJCWGY00320,2EC85C14-D684-4845-8917-AB9D4E5CE301,Pet Dog Cat Ice Silk Cold Nest Pad For Cooling In Summer,6398,1.26 -- 8.79,11.99 - 83.60,51,273137,66,5,5,5,https://www.cjdropshipping.com/product/pet-dog-cat-ice-silk-cold-nest-pad-for-cooling-in-summer-p-2EC85C14-D684-4845-8917-AB9D4E5CE301.html
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,Double Layer Litter Cat Bed Pads Pet Cat Litter Mat Trapping Pets Litter Box Mat Pet Product Bed For Cats House Clean Mat,3009,3.61 -- 21.50,34.34 - 204.47,31,922814,,20,20,2,https://www.cjdropshipping.com/product/double-layer-litter-cat-bed-pads-pet-cat-litter-mat-trapping-pets-litter-box-mat-pet-product-bed-for-cats-house-clean-mat-p-0128A917-A355-4D8D-AA59-4FAA4F0013AD.html
4,CJGY2064580,2406200640451621700,Dog Cooling Mat Summer Pets Cold Bed Extra Large For Small Big Dogs Pet Accessories Cat Durable Blanket Sofa Cat Ice Pad Blanket Pet Products,2070,1.11 -- 7.53,10.56 - 71.62,42,497194,,649,649,9,https://www.cjdropshipping.com/product/dog-cooling-mat-summer-pets-cold-bed-extra-large-for-small-big-dogs-pet-accessories-cat-durable-blanket-sofa-cat-ice-pad-blanket-pet-products-p-2406200640451621700.html
5,CJGY1942967,1744342631724888064,Pet Dog Sofa Bed Dog Beds For Large Dogs Cushion Warm Cat Beds Mat Furniture Protector Dog Sofa,1649,5.80 -- 12.44,55.16 - 118.31,40,494421,,5,5,2,https://www.cjdropshipping.com/product/pet-dog-sofa-bed-dog-beds-for-large-dogs-cushion-warm-cat-beds-mat-furniture-protector-dog-sofa-p-1744342631724888064.html
