rank,pid,sku,nameEn,listedNum,sellPrice,suggestSellPrice,numVariants,productWeight_g,productType,freeShipping_addMarkStatus,supplierName,createrTime,numVideos,numImages,totalInventory,cjInventory,factoryInventory,inventoryCountries,reviewCount,avgScore,bigImage,productUrl
1,BCCB2371-70C9-4C98-AEF6-A71D65DDF2A1,CJJJCWGY04596,Hands Free Dog Leash Pet Walking And Training Belt With Shock Absorbing Bungee Leash For Up To 180lbs Large Dogs Phone Pocket And Water Bottle Holder,4233,2.20,13.56 - 21.62,5,210,SUPPLIER_PRODUCT,0,"Shenzhen Zhiyong Electronics Co., Ltd.",2021-11-08T10:03:38+08:00,3,9,116056,0,116056,CN,0,,https://oss-cf.cjdropshipping.com/product/2026/08/07/06/3a3eb19f-1481-43e2-be82-7b34a19e61aa.jpg,https://www.cjdropshipping.com/product/hands-free-dog-leash-pet-walking-and-training-belt-with-shock-absorbing-bungee-leash-for-up-to-180lbs-large-dogs-phone-pocket-and-water-bottle-holder-p-BCCB2371-70C9-4C98-AEF6-A71D65DDF2A1.html
2,1561725514673967104,CJGY1548160,Pets Dog Cat Baby Safety Gate Mesh Fence Magic Portable Guard Net Stairs Doors,2867,13.78,67.59 - 78.01,1,100,SUPPLIER_SHIPPED_PRODUCT,1,Fan Nan,2022-08-22T14:42:32+08:00,1,19,1521,1521,0,CN,0,,https://cf.cjdropshipping.com/16981056/1716718081591742464.jpg,https://www.cjdropshipping.com/product/pets-dog-cat-baby-safety-gate-mesh-fence-magic-portable-guard-net-stairs-doors-p-1561725514673967104.html
3,1650329494391508992,CJGY1742809,Automatic Explore Retractable Dog Leash Pet Traction Rope 5M Dog Retractable Traction Rope Dog Leash Cat Puppy Harness Belt Automatic Flexible Small Medium Dogs Pet Products,2460,11.94-15.62,67.59 - 88.42,2,214,SUPPLIER_SHIPPED_PRODUCT,1,Fan Nan,2023-04-24T02:43:07+08:00,1,8,28200,3143,25057,CN,0,,https://cf.cjdropshipping.com/a3c09cca-7a88-4f7f-88bc-7dd486edb786.jpg,https://www.cjdropshipping.com/product/automatic-explore-retractable-dog-leash-pet-traction-rope-5m-dog-retractable-traction-rope-dog-leash-cat-puppy-harness-belt-automatic-flexible-small-medium-dogs-pet-products-p-1650329494391508992.html
4,1657574694545412096,CJGY1757445,Dog Tooth Cleaning Brush Care Finger Wrap Cat Dog Oral Cleaning Toothbrush Tool Silicone Dog Cat Finger Toothbrush Supplies Pet Products,2333,6.42-9.18,36.35 - 51.97,4,16,SUPPLIER_SHIPPED_PRODUCT,1,Fan Nan,2023-05-14T02:32:58+08:00,2,13,54902,6701,48201,CN,21,4.43,https://oss-cf.cjdropshipping.com/product/2024/04/07/06/54824e9a-8ff4-4420-8c53-f5efde0fb953.jpg,https://www.cjdropshipping.com/product/dog-tooth-cleaning-brush-care-finger-wrap-cat-dog-oral-cleaning-toothbrush-tool-silicone-dog-cat-finger-toothbrush-supplies-pet-products-p-1657574694545412096.html
5,1681885622027833344,CJGY1803656,"Dog Towels For Drying Dogs Drying Towel Dog Bath Towel, Quick-drying Pet Dog And Cat Towels Soft Fiber Towels Robe Super Absorbent Quick Drying Soft Microfiber Pet Towel For Dogs, Cats Yellow",1806,6.42-12.86,36.35 - 72.80,3,90-400,SUPPLIER_SHIPPED_PRODUCT,1,Fan Nan,2023-07-20T00:00:00+08:00,0,17,4184,4184,0,CN,0,,https://cf.cjdropshipping.com/21ced201-df9a-4602-a30a-5083e683dcdf.jpg,https://www.cjdropshipping.com/product/dog-towels-for-drying-dogs-drying-towel-dog-bath-towel-quick-drying-pet-dog-and-cat-towels-soft-fiber-towels-robe-super-absorbent-quick-drying-soft-microfiber-pet-towel-for-dogs-cats-yellow-p-1681885622027833344.html
